,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL,Employer est.,Per hour,Min Salary,Max Salary,Avg Salary,State,Companys Age,MachineLearning,python,power bi,big data,sql,Refined Title,Seniority
432,"Director, Subscriptions Marketing Analytics",$100K - $250K (Employer est.),"Evaluate and implement appropriate data science tools, platforms, and technologies to streamline processes and enhance data-driven marketing and Automated……
Skills: Power BI, Data mining, R, Tableau, SQL",3.6,Dow Jones,"New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/director-subscriptions-marketing-analytics-dow-jones-JV_IC1132348_KO0,42_KE43,52.htm?jl=1009356709189",1,0,100,250,175,NY,142,0,0,1,0,1,data analyst,not applicable
433,"AIML - Software Engineer, Health AI",$135K - $251K (Employer est.),"In this role, you will collaborate with research scientists, machine learning engineers, software engineers, and designers to develop new on-device experiences……
Skills: Computer science, iOS, Objective-C, Machine learning, Swift",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/aiml-software-engineer-health-ai-apple-JV_IC1150505_KO0,32_KE33,38.htm?jl=1009371880432",1,0,135,251,193,WA,48,1,0,0,0,0,data engineer,not applicable
434,"Manager II, Fraud Solutions Consulting Analytics",$119K - $202K (Employer est.),"Bachelor’s or Master’s degree in statistics, computer science, engineering, operations research, or other quantitative field; or a Bachelor’s degree in a……
Skills: R, Microsoft Office, Machine learning, Product management, Leadership",3.6,TransUnion,"Chicago, IL",10000+ Employees,1968,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/manager-ii-fraud-solutions-consulting-analytics-transunion-JV_IC1128808_KO0,47_KE48,58.htm?jl=1009359292508",1,0,119,202,160.5,IL,56,1,0,0,0,0,data analyst,manager
435,Fraud Strategy & Analytics Analyst II,$74K - $142K (Employer est.),"Intermediate knowledge of data analysis tools, data visualization, developing analysis queries and procedures in SQL, SAS, BI tools or other analysis software,……
Skills: Statistics, SAS, Military, Data analysis skills, Tableau",3.4,USAA,"San Antonio, TX",10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/fraud-strategy-analytics-analyst-ii-usaa-JV_IC1140494_KO0,35_KE36,40.htm?jl=1009380430068",1,0,74,142,108,TX,102,0,0,0,0,1,data analyst,not applicable
436,Senior Director of AI Product,$174K - $224K (Glassdoor est.),"Excellent verbal and written communication skills, with the ability to effectively convey complex technical concepts to non-technical stakeholders.…
Skills: Analysis skills, Product development, Machine learning, Product management, Organizational skills",3.5,Uniphore,"Palo Alto, CA",501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/senior-director-of-ai-product-uniphore-JV_IC1147434_KO0,29_KE30,38.htm?jl=1009368159255",0,0,174,224,199,CA,16,1,0,0,0,0,artifical intelligence,senior
437,"Software Engineer (Big Data), Ai & Data Platforms",$143K - $215K (Employer est.),"You are able to communicate effectively, both written and verbal, with technical and non-technical multi-functional teams.…
Skills: Computer science, Data modeling, Cloud infrastructure, Azure, Kubernetes",4.1,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-big-data-ai-data-platforms-apple-JV_IC1147442_KO0,44_KE45,50.htm?jl=1009339347675",1,0,143,215,179,CA,48,0,0,0,0,0,artifical intelligence,not applicable
438,"Applied Scientist I, BRP (Buyer Risk Prevention)",$129K - $213K (Employer est.),"Master's degree in computer science, mathematics, statistics, machine learning or equivalent quantitative field.…
Skills: Oracle, Java, SQL, C++, Machine learning",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/applied-scientist-i-brp-buyer-risk-prevention-amazon-com-services-llc-JV_IC1150505_KO0,45_KE46,69.htm?jl=1009373183942",1,0,129,213,171,WA,30,1,0,0,0,1,applied scientist,not applicable
442,Planning Analytics and Risk Management - Associate Data Scientist - Innovation,$75K - $100K (Employer est.),"Evaluate the model performance and develop practical cost benefit analysis. A graduate level degree in a quantitative field such as math, physics, computer……
Skills: Computer science, Machine learning, Deep learning, Natural language processing, Quantitative analysis",4,The Cincinnati Insurance Companies,"Fairfield, OH",1001 to 5000 Employees,1968,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/planning-analytics-and-risk-management-associate-data-scientist-innovation-the-cincinnati-insurance-companies-JV_IC1145710_KO0,74_KE75,109.htm?jl=1009287354956",1,0,75,100,87.5,OH,56,1,0,0,0,0,data scientist,head
443,Principal Applied Scientist,$138K - $294K (Employer est.),"Conduct applied science experiments, create and validate metrics, develop ML pipeline and modeling algorithm in the area of Large Language Models, Natural……
Skills: TensorFlow, Statistics, Computer science, Azure, Research",4.2,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/principal-applied-scientist-microsoft-JV_KO0,27_KE28,37.htm?jl=1009292509825",1,0,138,294,216,US,49,0,0,0,0,0,applied scientist,senior
444,Senior Data Scientist,$173K - $243K (Employer est.),"Excellent logical thinking, a very strong background (Bachelor’s/Master’s degree) in a quantitative field such as mathematics, statistics, physics, engineering,……
Skills: Data mining, R, Statistical analysis, Machine learning, Scala",3.8,Expedia Partner Solutions,"Austin, TX",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-expedia-partner-solutions-JV_IC1139761_KO0,21_KE22,47.htm?jl=1009309697941",1,0,173,243,208,TX,28,1,0,0,0,0,data scientist,senior
